Word|PartNet|PartNetFail|Disambiguation|DisambiguationFail
corner|parasol||bertram|
bathtub|bathroom|0|bertram|0
towels|toilet_bowl|0|bertram|0
tub|bathroom|0|bertram|0
edge|human||bertram|
bath|bath||bertram|
showerhead|shower|1|bertram|0
wall|paperweight||bertram|
shower|shower_stall|0|bertram|0
cupboard|cupboard|1|bertram|0
tub|bathroom|0|bertram|0
toilet|toilet|1|bertram|0
cupboard|cupboard|1|bertram|0
toilet|toilet|1|bertram|0
candles|lit|0|bertram|0
sunshade|kendiras|0|bertram|0
cosy|creamy-white||bertram|
clothes|fitted_carpet||bertram|
machine|sewing_machine||bertram|
side|side||bertram|
toilet|toilet|1|bertram|0
mirror|mirror|1|bertram|0
wall|paperweight||bertram|
machine|sewing_machine||bertram|
toilet|toilet|1|bertram|0
room|building||bertram|
washbasin|bathroom|0|bertram|0
side|side||bertram|
cupboard|cupboard|1|bertram|0
washing|washing||bertram|
top|masahito||bertram|
sink|sink|1|bertram|0
