Word|PartNet|PartNetFail|Disambiguation|DisambiguationFail
side|fingers||hiaasen|
sideboard|dining_room|0|hiaasen|0
tiles|tiles||hiaasen|
washbasin|bathroom|0|hiaasen|0
bottles|bottles|0|hiaasen|0
candles|candles|0|hiaasen|0
glasses|frame|0|hiaasen|0
sideboard|dining_room|0|hiaasen|0
towels|towels|0|hiaasen|0
sideboard|dining_room|0|hiaasen|0
washbasin|bathroom|0|hiaasen|0
shower|shower_stall|0|hiaasen|0
curtain|curtain|1|hiaasen|0
toilet|toilet|1|hiaasen|0
side|side||hiaasen|
wall|wall||hiaasen|
radiator|motorbike|0|hiaasen|0
toilet|toilet|1|hiaasen|0
towels|toilet_seat|0|hiaasen|0
mirror|mirror|1|hiaasen|0
sideboard|dining_room|0|hiaasen|0
