Word|PartNet|PartNetFail|Disambiguation|DisambiguationFail
end|anz||trevino|
room|building||trevino|
bathtub|bathroom|0|trevino|0
edge|calcavecchia||trevino|
towel|towel|1|trevino|0
bathtub|bathroom|0|trevino|0
toilet|toilet|1|trevino|0
wall|paperweight||trevino|
side|side||trevino|
side|side||trevino|
washing|ansatz||trevino|
basket|coffee_table|0|trevino|0
side|side||trevino|
toilet|toilet|1|trevino|0
washbasin|bathroom|0|trevino|0
washbasin|bathroom|0|trevino|0
bathtub|bathroom|0|trevino|0
shelf|bookcase|0|trevino|0
side|side||trevino|
mirror|mirror||trevino|
toilet|toilet|1|trevino|0
area|byproduct||trevino|
candle|candle|1|trevino|0
parasol|parasol|1|trevino|0
