Word|PartNet|PartNetFail|Disambiguation|DisambiguationFail
surface|lithosphere||akademi|
middle|torso||akademi|
washbasin|bathroom|0|akademi|0
side|side||akademi|
sink|sink|1|akademi|0
side|side||akademi|
washbasin|bathroom|0|akademi|0
towel|towel|1|akademi|0
towel|towel|1|akademi|0
side|side||akademi|
washbasin|bathroom|0|akademi|0
shower|shower_stall||akademi|
wall|paperweight||akademi|
front|battlefield||akademi|
washbasin|bathroom|0|akademi|0
mirror|mirror|1|akademi|0
candles|candles|0|akademi|0
surface|lithosphere||akademi|
washbasin|bathroom|0|akademi|0
